d    naive    normal_random    luneburg    lenstra
2    0    0    0    1
3    0    0    0    0
4    0    0    1    0
5    0    1    1    0
6    0    0    2    1
7    0    0    2    1
8    1    0    1    2
9    0    1    4    2
10    1    1    7    1
12    1    0    3    6
14    1    1    23    6
16    3    2    13    11
18    2    2    12    21
20    4    3    129    7
23    4    3    198    30
26    5    5    345    47
29    6    7    577    68
32    8    9    243    100
36    11    11    133    241
